Formatted_Question,Answer_Hindi,English_Translated
कुल्हाड़ी : काटना :: गोद : ?,चिपकाना,"Here's the translation of the analogy from Hindi to English:

Question: Chisel : Cutting :: Pouch :?

Options:
A. Alphabet
B. Paper
C. Glue
D. Chew"
शेर : मांस :: गाय : ?,घास,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Lion : Meat :: Cow :?

Options:
A. Snake
B. Grass
C. Insect
D. Animal"
कलम : लेखक :: बल्ला : ?,बल्लेबाज,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Pen : Writer :: Bat :?

Options:
A. Brush
B. Warrior
C. Stick
D. Batsman"
आयतन : लीटर :: क्षेत्र : ?,हेक्टेयर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Volume : Litre :: Area :?

Options:
A. Hectare
B. Degree
C. Radian
D. Newton"
चंद्रमा : सैटेलाइट :: धरती : ?,ग्रह,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Moon : Satellite :: Earth :?

Options:
A. Sun
B. Planet
C. Solar System
D. Asteroid"
मोमबत्ती : मोम :: कागज : ?,पल्प,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Candle : Wax :: Paper :?

Options:
A. Wood
B. Tree
C. Bamboo
D. Pulp"
विम्बलडन ट्रॉफी : टेनिस :: वाकर कप : ?,गोल्फ,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Wimbledon Trophy : Tennis :: Walker Cup :?

Options:
A. Hockey
B. Polo
C. Golf
D. Wrestling"
डॉक्टर : अस्पताल :: शिक्षक : ?,स्कूल,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Doctor : Hospital :: Teacher :?

Options:
A. Office
B. School
C. Home
D. Field"
निर्माता : फिल्म :: लेखक : ?,पुस्तक,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Producer : Film :: Writer :?

Options:
A. Food
B. Newspaper
C. Book
D. Poem"
कलम : लेखक :: तलवार : ?,योद्धा,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Pen : Writer :: Sword :?

Options:
A. Carpenter
B. Warrior
C. Scribe
D. Farmer"
नेत्र : निकट दृष्टि :: दांत : ?,पाइरिया,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Eye : Near-sightedness :: Tooth :?

Options:
A. Pyorrhea
B. Cataract
C. Trachoma
D. Eczema"
ओटावा : कनाडा :: कैनबरा : ?,ऑस्ट्रेलिया,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Ottawa : Canada :: Canberra :?
Options:
A. Argentina
B. Switzerland
C. Sri Lanka
D. Australia"
रेस : थकान :: उपवास : ?,भूख,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Race : Fatigue :: Fasting :?

Options:
A. Hunger
B. Sleep
C. Energy
D. Disease"
स्केल : लंबाई :: ओडोमीटर : ?,गति,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Scale : Length :: Odometer :?

Options:
A. Temperature
B. Current
C. Speed
D. Rainfall"
बेटा : बेटी :: भतीजा : ?,भतीजी,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Son : Daughter :: Nephew :?

Options:
A. Girl
B. Lady
C. Cousin
D. Niece"
विषाणु विज्ञान : वायरस :: कीटविज्ञान : ?,कीड़े,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Virology : Virus :: Entomology :?

Options:
A. Insects
B. Animals
C. Fungi
D. Fish"
कलम : लिखना :: बंदूक : ?,गोली मारना,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Pen : Write :: Gun :?

Options:
A. Digging
B. Shooting
C. Cutting
D. Guard"
झगड़ा : युद्ध :: नाखुश : ?,दुख,"Here's the translation of the analogy from Hindi to English:

Question: Quarrel : War :: Unhappy :?

Options:
A. Happy
B. Sorrow
C. Denial
D. Rejection"
लाल किला : दिल्ली :: स्वर्ण मंदिर : ?,अमृतसर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Red Fort : Delhi :: Golden Temple :?

Options:
A. Agra
B. Amritsar
C. Jama Masjid
D. Taj Mahal"
दीप : उथला :: स्वतंत्रता : ?,अनुशासन,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Deep : Shallow :: Freedom :?

Options:
A. Democracy
B. Criminality
C. Jail
D. Discipline"
असली : प्रामाणिक :: मृगतृष्णा : ?,भ्रम,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Real : Authentic :: Mirage :?

Options:
A. Image
B. Evaporation
C. Reflection
D. Illusion"
स्याम देश : बिल्ली :: रोमेन : ?,सलाद,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Siam (Thailand) : Cat :: Romania :?

Options:
A. Breed
B. Kitten
C. Place
D. Salad"
फिंच : पक्षी :: डेलमेटियन : ?,कुत्ता,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Finch : Bird :: Delmatian :?

Options:
A. Toad
B. Reptile
C. Dog
D. Grasshopper"
पंखुड़ी : फूल :: टायर : ?,साइकिल,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Petal : Flower :: Tyre :?

Options:
A. Black Pepper
B. Cycle
C. Ball
D. Shoes"
लेखन : साहित्यिक चोरी :: पैसा : ?,दुर्विनियोजन,"Here's the translation of the analogy from Hindi to English:

Question: Writing : Literary Theft :: Money :?

Options:
A. Deceit
B. Misappropriation
C. Theft
D. Disease"
संघनन : ठण्डा :: वाष्पीकरण : ?,गर्मी,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Condensation : Cold :: Evaporation :?

Options:
A. Heat
B. Cook
C. Listen
D. Buy"
दाँत : चबाना :: मन : ?,सोचना,"Here's the translation of the analogy from Hindi to English:

Question: Tooth : Chewing :: Mind :?

Options:
A. Thinking
B. Heat
C. Taste
D. Twinkle"
आंख : आँसू :: ज्वालामुखी : ?,लावा,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Eye : Tear :: Volcano :?

Options:
A. Water
B. Lava
C. Artery
D. Bread"
लॉन : घास :: खाल : ?,फर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Lawn : Grass :: Skin :?

Options:
A. Goat
B. Sheep
C. Fur
D. Field"
टेलीफोन : रिंग :: दरवाज़ा : ?,दस्तक,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Telephone : Ring :: Door :?

Options:
A. Knock
B. Open
C. Wood
D. Key"
हमेशा : कभी नहीं :: अक्सर : ?,शायद,"Here's the translation of the analogy MCQ from Hindi to English:

Always : Never :: Often :?

Options:
A. Perhaps
B. Usually
C. Frequently
D. Carelessly"
अपमान : अपमानित :: गोली मारना : ?,हत्या,"Here's the translation of the analogy from Hindi to English:

Question: Insult : Insulted :: Shooting :?

Options:
A. Murder
B. Disrespect
C. Barking
D. Harsh"
सैनिक : रेजिमेंट :: कुंडली : ?,मोटर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Soldier : Regiment :: Horoscope :?

Options:
A. Bearing
B. Motor
C. Printer
D. Gas"
समीर : आंधी :: टपकना : ?,धार,"Here's the translation of the analogy from Hindi to English:

Question: Samir : Andhi :: Tapakna :?

Options:
A. Nakkaashi
B. Kali
C. Dhaar
D. Sadhand"
कभी कभी : दुर्लभ :: अक्सर : ?,आमतौर पर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Sometimes : Rare :: Often :?

Options:
A. Sometimes
B. Usually
C. Occasionally
D. Equal"
मृगनयनी : हिरन :: साँड़ : ?,गाय,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Mṛganayani : Hiran :: Sāṇḍ :?

Options:
A. Ostrich
B. Sāṇḍ
C. Donkey
D. Cow"
कुँवारी : कुँवारा :: गाय : ?,बैल,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Maiden : Bachelor :: Cow :?

Options:
A. Elephant
B. Chicken
C. Fox
D. Ox"
उषाकाल : सन्ध्या :: प्रस्तावना : ?,उपसंहार,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Dawn : Dusk :: Introduction :?

Options:
A. Day
B. Nineties
C. Conclusion
D. Evening"
मियामी : फ्लोरिडा :: अल्बानी : ?,न्यूयॉर्क,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Miami : Florida :: Albany :?

Options:
A. New York
B. Albany
C. Sydney
D. America"
ज्वालामुखी : लावा :: खसकाना : ?,भूकंप,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Volcano : Lava :: Erosion :?

Options:
A. Earthquake
B. Pain
C. River
D. Sand"
