Formatted_Question,Answer_Hindi,English_Translated,Tamil_Translated_From_English,English_ReTranslated
आयतन : लीटर :: क्षेत्र : ?,हेक्टेयर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Volume : Litre :: Area :?

Options:
A. Hectare
B. Degree
C. Radian
D. Newton","கேள்வி: அளவு : லிட்டர் :: பரப்பளவு :?

தேர்வுகள்:
A. ஹெக்டேர்
B. பாகை
C. ரேடியன்
D. நியூட்டன்","Question: Measure : Litre :: Area :?

Options:
A. Hectare
B. Degree
C. Radian
D. Newton"
चंद्रमा : सैटेलाइट :: धरती : ?,ग्रह,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Moon : Satellite :: Earth :?

Options:
A. Sun
B. Planet
C. Solar System
D. Asteroid","கேள்வி: நிலா : செயற்கைக்கோள் :: புவி :?

தேர்வுகள்:
A. சூரியன்
B. கோள்
C. சூரியக் குடும்பம்
D. விண்மீன்","Question: Moon : Artificial Satellite :: Earth :?

Options:
A. Sun
B. Planet
C. Solar System
D. Star"
मोमबत्ती : मोम :: कागज : ?,पल्प,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Candle : Wax :: Paper :?

Options:
A. Wood
B. Tree
C. Bamboo
D. Pulp","கேள்வி: விளக்கு : வாழை :: காகிதம் :?

விடைகள்:
A. மரம்
B. மரம்
C. பனை
D. புல்ப்","Question: Analogy: Coconut : Leaf :: Paper :?

Options:
A. Tree
B. Tree
C. Palm
D. Pulp"
विम्बलडन ट्रॉफी : टेनिस :: वाकर कप : ?,गोल्फ,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Wimbledon Trophy : Tennis :: Walker Cup :?

Options:
A. Hockey
B. Polo
C. Golf
D. Wrestling","Wimbledon Trophy : Tennis :: Walker Cup :?

விடைகள்:
A. ஹாக்கி
B. போலோ
C. கால்பந்து
D. குத்துச்சண்டை","Translation:

Wimbledon Trophy : Tennis :: Walker Cup :?

Options:
A. Hockey
B. Polo
C. Golf
D. Boxing"
डॉक्टर : अस्पताल :: शिक्षक : ?,स्कूल,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Doctor : Hospital :: Teacher :?

Options:
A. Office
B. School
C. Home
D. Field","கேள்வி: மருத்துவர் : மருத்துவமனை :: ஆசிரியர் :?

விடைகள்:
A. அலுவலகம்
B. பள்ளி
C. வீடு
D. தோட்டம்","Question: Doctor : Hospital :: Teacher :?

Options:
A. Office
B. School
C. Home
D. Garden"
निर्माता : फिल्म :: लेखक : ?,पुस्तक,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Producer : Film :: Writer :?

Options:
A. Food
B. Newspaper
C. Book
D. Poem","கேள்வி: தயாரிப்பாளர் : திரைப்படம் :: எழுத்தாளர் :?

தேர்வுகள்:
A. உணவு
B. நாளிதழ்
C. புத்தகம்
D. கவிதை","Question: Producer : Movie :: Writer :?

Options:
A. Food
B. Newspaper
C. Book
D. Poetry"
कलम : लेखक :: तलवार : ?,योद्धा,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Pen : Writer :: Sword :?

Options:
A. Carpenter
B. Warrior
C. Scribe
D. Farmer","கேள்வி: எழுத்துப் பொருள் : எழுத்தாளர் :: வாள் :?

தேர்வுகள்:
A. கருவூலக்காரர்
B. போர் வீரர்
C. எழுத்தாளர்
D. விவசாயி","Question: Analogy: Author : Writer :: Sword :?

Options:
A. Treasurer
B. Warrior
C. Writer
D. Farmer"
नेत्र : निकट दृष्टि :: दांत : ?,पाइरिया,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Eye : Near-sightedness :: Tooth :?

Options:
A. Pyorrhea
B. Cataract
C. Trachoma
D. Eczema","கேள்வி: கண் : அண்மையில் பார்க்கும் தன்மை :: முடி :?

விடைகள்:
A. பியோர்ரீயா
B. கேட்டராக்ட்
C. திராகோமா
D. எச்செமா","Question: Eye : Recent vision :: Hair :?

Options:
A. Phytotherapy
B. Keratoplasty
C. Trachoma
D. Telomere"
ओटावा : कनाडा :: कैनबरा : ?,ऑस्ट्रेलिया,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Ottawa : Canada :: Canberra :?
Options:
A. Argentina
B. Switzerland
C. Sri Lanka
D. Australia","கேள்வி: Ottawa : Canada :: Canberra :?
விடைகள்:
A. Argentina
B. Switzerland
C. Sri Lanka
D. Australia","Question: Ottawa : Canada :: Canberra :?
Options:
A. Argentina
B. Switzerland
C. Sri Lanka
D. Australia"
रेस : थकान :: उपवास : ?,भूख,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Race : Fatigue :: Fasting :?

Options:
A. Hunger
B. Sleep
C. Energy
D. Disease","கேள்வி: ஓட்டம் : சரிவு :: வெற்றுவிழா :?

தேர்வுகள்:
A. உணவுக்குமின்றி
B. ஓய்வு
C. ஆற்றல்
D. நோய்","Question: Flow : Downfall :: Festival :?

Options:
A. Foodless
B. Rest
C. Energy
D. Disease"
स्केल : लंबाई :: ओडोमीटर : ?,गति,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Scale : Length :: Odometer :?

Options:
A. Temperature
B. Current
C. Speed
D. Rainfall","கேள்வி: அளவை : நீளம் :: ஓடோமீட்டர் :?

விடைகள்:
A. வெப்பநிலை
B. ஓட்டம்
C. வேகம்
D. மழைப்பொழிவு","Question: Measurement : Length :: Odometer :?

Options:
A. Temperature
B. Speed
C. Velocity
D. Precipitation"
बेटा : बेटी :: भतीजा : ?,भतीजी,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Son : Daughter :: Nephew :?

Options:
A. Girl
B. Lady
C. Cousin
D. Niece","கேள்வி: மகன் : மகள் :: மாமன் :?

தேர்வுகள்:
A. பெண்
B. பெண்
C. தம்பி
D. மாமகள்","Question: Son : Daughter :: Uncle :?

Options:
A. Girl
B. Girl
C. Brother
D. Niece"
विषाणु विज्ञान : वायरस :: कीटविज्ञान : ?,कीड़े,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Virology : Virus :: Entomology :?

Options:
A. Insects
B. Animals
C. Fungi
D. Fish","கேள்வி: வைராலஜி : வைரஸ் :: எண்டோமாலஜி :?

விடைகள்:
A. பூச்சிகள்
B. விலங்குகள்
C. பாக்டீரியா
D. மீன்கள்","Question: Virology : Virus :: Entomology :?

Options:
A. Insects
B. Animals
C. Bacteria
D. Fish"
कलम : लिखना :: बंदूक : ?,गोली मारना,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Pen : Write :: Gun :?

Options:
A. Digging
B. Shooting
C. Cutting
D. Guard","கேள்வி: எழுதுவதற்கு பென் போலவும், புலி போலவும் என்ன செய்யப்படுகிறது?

தேர்வுகள்:
A. அகழ்வு
B. சுடுதல்
C. வெட்டுதல்
D. காவல்","Question: What is done to a pen like a pen and a tiger like a tiger for writing?

Options:
A. Excavation
B. Roasting
C. Slaughtering
D. Guarding"
झगड़ा : युद्ध :: नाखुश : ?,दुख,"Here's the translation of the analogy from Hindi to English:

Question: Quarrel : War :: Unhappy :?

Options:
A. Happy
B. Sorrow
C. Denial
D. Rejection","கேள்வி: போர் : சண்டை :: துன்பம் :?

விடைகள்:
A. மகிழ்ச்சி
B. துன்பம்
C. மறுப்பு
D. மறுப்பு","Question: War : Fight :: Sorrow :?

Options:
A. Happiness
B. Sorrow
C. Denial
D. Denial"
लाल किला : दिल्ली :: स्वर्ण मंदिर : ?,अमृतसर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Red Fort : Delhi :: Golden Temple :?

Options:
A. Agra
B. Amritsar
C. Jama Masjid
D. Taj Mahal","கேள்வி: செம்மறி மாடு கோட்டை : தில்லி :: காசு கிராமம் :?

விடைகள்:
A. அக்ரா
B. அமிர்தசரஸ்
C. ஜமா மஸ்ஜித்
D. தாஜ் மகால்","Question: Cow is to Fort : Delhi :: Coin is to?

Options:
A. Agara
B. Amritsar
C. Jama Masjid
D. Taj Mahal"
दीप : उथला :: स्वतंत्रता : ?,अनुशासन,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Deep : Shallow :: Freedom :?

Options:
A. Democracy
B. Criminality
C. Jail
D. Discipline","கேள்வி: ஆழம் : மேலோங்குதல் :: சுதந்திரம் :?

விடைகள்:
A. குடியரசு
B. குற்றவாளியாக்கம்
C. சிறை
D. ஒழுங்கு","Question: Depth : Ascension :: Liberty :?

Options:
A. Republic
B. Conviction
C. Prison
D. Order"
असली : प्रामाणिक :: मृगतृष्णा : ?,भ्रम,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Real : Authentic :: Mirage :?

Options:
A. Image
B. Evaporation
C. Reflection
D. Illusion","கேள்வி: உண்மை : அதிகாரப்பூர்வமானது :: மிராஜ் :?

விடைகள்:
A. படம்
B. வாயுப்படிவமாதல்
C. பிரதிபலிப்பு
D. மாயம்","Question: Truth : Official :: Mirage :?

Options:
A. Picture
B. Condensation
C. Reflection
D. Illusion"
स्याम देश : बिल्ली :: रोमेन : ?,सलाद,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Siam (Thailand) : Cat :: Romania :?

Options:
A. Breed
B. Kitten
C. Place
D. Salad","கேள்வி: Siam (Thailand) : Cat :: Romania :?

விடைகள்:
A. Breed
B. Kitten
C. Place
D. Salad","Question: Siam (Thailand) : Cat :: Romania :?

Options:
A. Breed
B. Kitten
C. Place
D. Salad"
फिंच : पक्षी :: डेलमेटियन : ?,कुत्ता,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Finch : Bird :: Delmatian :?

Options:
A. Toad
B. Reptile
C. Dog
D. Grasshopper","கேள்வி: Finch : பறவை :: Delmatian :?

தேர்வுகள்:
A. மான்குடு
B. ஊர்வன
C. குக்கி
D. பூச்சி","Question: Finch : Bird :: Delmatian :?

Options:
A. Deer : Mammal
B. Reptiles : Reptiles
C. Dog : Mutt
D. Insect : Bug"
पंखुड़ी : फूल :: टायर : ?,साइकिल,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Petal : Flower :: Tyre :?

Options:
A. Black Pepper
B. Cycle
C. Ball
D. Shoes","கேள்வி: பூக்கால் : மலர் :: பாதப்பந்து :?

விடைகள்:
A. கருப்பு மிளகாய்
B. சைக்கிள்
C. பந்து
D. சண்டைக்கலவை","Question: Flower : Blossom :: Ball :?

Options:
A. Black Pepper
B. Cycle
C. Ball
D. Fight"
लेखन : साहित्यिक चोरी :: पैसा : ?,दुर्विनियोजन,"Here's the translation of the analogy from Hindi to English:

Question: Writing : Literary Theft :: Money :?

Options:
A. Deceit
B. Misappropriation
C. Theft
D. Disease","கேள்வி: எழுதுதல் : இலக்கிய கொள்ளை :: பணம் :?

விடைகள்:
A. பின்வாங்கல்
B. மிசப்பிரியாக்கல்
C. கொள்ளை
D. நோய்","Question: Writing : Literary Plagiarism :: Money :?

Options:
A. Withdrawal
B. Misappropriation
C. Plunder
D. Disease"
संघनन : ठण्डा :: वाष्पीकरण : ?,गर्मी,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Condensation : Cold :: Evaporation :?

Options:
A. Heat
B. Cook
C. Listen
D. Buy","கேள்வி: கனமாவல் : குளிர் :: விரிவாக்கம் :?

தேர்வுகள்:
A. வெப்பம்
B. சூடாக்க
C. கேட்க
D. வாங்க","Question: Bulk : Cold :: Expansion :?

Options:
A. Heat
B. Contract
C. Hear
D. Buy"
दाँत : चबाना :: मन : ?,सोचना,"Here's the translation of the analogy from Hindi to English:

Question: Tooth : Chewing :: Mind :?

Options:
A. Thinking
B. Heat
C. Taste
D. Twinkle","கேள்வி: முழங்கால் : சத்தம் :: மனம் :?

தேர்வுகள்:
A. சிந்திப்பு
B. வெப்பம்
C. சுவை
D. வியர்வை","Question: Leg : Sound :: Mind :?

Options:
A. Thought
B. Heat
C. Taste
D. Sweat"
आंख : आँसू :: ज्वालामुखी : ?,लावा,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Eye : Tear :: Volcano :?

Options:
A. Water
B. Lava
C. Artery
D. Bread","கேள்வி: கண் : கண்ணீர் :: புயல் :?

தேர்வுக்குரிய விடயங்கள்:
A. நீர்
B. லாவா
C. இரத்த நாளம்
D. காய்கறி","Question: Eye : Tears :: Cyclone :?

Options:
A. நீர்
B. லாவா
C. இரத்த நாளம்
D. காய்கறி"
लॉन : घास :: खाल : ?,फर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Lawn : Grass :: Skin :?

Options:
A. Goat
B. Sheep
C. Fur
D. Field","கேள்வி: மூலை : தரை :: சருமம் :?

தேர்வுகள்:
A. ஆடு
B. ஆட்டு
C. முடி
D. தோட்டம்","Question: Corner : Floor :: Skin :?

Options:
A. ஆடு
B. ஆட்டு
C. முடி
D. தோட்டம்"
टेलीफोन : रिंग :: दरवाज़ा : ?,दस्तक,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Telephone : Ring :: Door :?

Options:
A. Knock
B. Open
C. Wood
D. Key","கேள்வி: தொலைபேசி : ஒலி :: வாயில் :?

தேர்வுகள்:
A. தட்டு
B. திறக்க
C. மரம்
D. தட்டு","Question: Telephone : Sound :: Valve :?

Options:
A. Plate
B. Open
C. Tree
D. Plate"
हमेशा : कभी नहीं :: अक्सर : ?,शायद,"Here's the translation of the analogy MCQ from Hindi to English:

Always : Never :: Often :?

Options:
A. Perhaps
B. Usually
C. Frequently
D. Carelessly","இடமானலோஜி:

எப்போதும் : எப்போதும் இல்லை :: பெரும்பாலும் :?

விடைகள்:
A. தவிர்த்தல்
B. பெரும்பாலும்
C. பெரும்பாலும்
D. கவனமற்று","Location Logic:

Always : Never :: Mostly :?

Options:
A. Except
B. Mostly
C. Mostly
D. Carelessly"
अपमान : अपमानित :: गोली मारना : ?,हत्या,"Here's the translation of the analogy from Hindi to English:

Question: Insult : Insulted :: Shooting :?

Options:
A. Murder
B. Disrespect
C. Barking
D. Harsh","கேள்வி: கருத்துக்குறைவு : கருத்துக்குறைவு செய்யப்பட்டவர் :: சுடுதல் :?

விடைகள்:
A. கொலை
B. மதிப்பிழப்பு
C. புலி
D. கடுமை","Question: Defamation : Defamation victim :: Scolding :?

Options:
A. கொலை
B. மதிப்பிழப்பு
C. புலி
D. கடுமை"
सैनिक : रेजिमेंट :: कुंडली : ?,मोटर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Soldier : Regiment :: Horoscope :?

Options:
A. Bearing
B. Motor
C. Printer
D. Gas","கேள்வி: வீரர் : படை :: விருசாகம் :?

தேர்வுகள்:
A. பாதுகாப்பு
B. மோட்டார்
C. பிரிண்டர்
D. வாயு","Question: Warrior : Army :: Virology :?

Options:
A. Security
B. Motor
C. Printer
D. Gas"
समीर : आंधी :: टपकना : ?,धार,"Here's the translation of the analogy from Hindi to English:

Question: Samir : Andhi :: Tapakna :?

Options:
A. Nakkaashi
B. Kali
C. Dhaar
D. Sadhand","கேள்வி: சமீர் : அந்தி :: தபக்காது :?

விடைகள்:
A. நக்காச்சி
B. களி
C. தார்
D. சதங்கள்","Question: Samier : Sandhi :: Thapakathu :?

Options:
A. Nakkachi
B. Kali
C. Thar
D. Satangal"
कभी कभी : दुर्लभ :: अक्सर : ?,आमतौर पर,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Sometimes : Rare :: Often :?

Options:
A. Sometimes
B. Usually
C. Occasionally
D. Equal","கேள்வி: முறையாக : அரிதாக :: பெரும்பாலும் :?

விடைகள்:
A. முறையாக
B. பொதுவாக
C. சில சமயங்களில்
D. சமமாக","Question: Orderly : Rarely :: Usually :?

Options:
A. Orderly
B. Usually
C. Sometimes
D. Equally"
मृगनयनी : हिरन :: साँड़ : ?,गाय,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Mṛganayani : Hiran :: Sāṇḍ :?

Options:
A. Ostrich
B. Sāṇḍ
C. Donkey
D. Cow","கேள்வி: ம்ருகநாயனி : ஹிரண் :: சாண்ட :?

விடைகள்:
A. ஓஸ்ட்ரிச்
B. சாண்ட
C. குதிரை
D. பன்றி","Question: Mrukanayani : Hiranyam :: Sand :?

Options:
A. Ostrich
B. Sand
C. Horse
D. Pig"
कुँवारी : कुँवारा :: गाय : ?,बैल,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Maiden : Bachelor :: Cow :?

Options:
A. Elephant
B. Chicken
C. Fox
D. Ox","கேள்வி: பெண் குழந்தை : பால் குழந்தை :: பசு :?

விடைகள்:
A. கழுதை
B. கோழி
C. நரி
D. ஆடு","Question: Girl child : Milk child :: Cow :?

Options:
A. Donkey
B. Chicken
C. Tiger
D. Sheep"
उषाकाल : सन्ध्या :: प्रस्तावना : ?,उपसंहार,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Dawn : Dusk :: Introduction :?

Options:
A. Day
B. Nineties
C. Conclusion
D. Evening","கேள்வி: வெள்ளிக்கிழமை : மாலை :: அறிமுகம் :?

தேர்வுகள்:
A. நாள்
B. நூற்றாண்டு
C. முடிவு
D. மாலை","Question: Morning : Evening :: Introduction :?

Options:
A. Day
B. Century
C. Decision
D. Evening"
मियामी : फ्लोरिडा :: अल्बानी : ?,न्यूयॉर्क,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Miami : Florida :: Albany :?

Options:
A. New York
B. Albany
C. Sydney
D. America","Question: மையாமி : பிளோரிடா :: அல்பனி :?

Options:
A. நியூயார்க்
B. அல்பனி
C. சிட்னி
D. அமெரிக்கா","Question: Miami : Florida :: Albany :?

Options:
A. New York
B. Albany
C. Sydney
D. America"
ज्वालामुखी : लावा :: खसकाना : ?,भूकंप,"Here's the translation of the analogy MCQ from Hindi to English:

Question: Volcano : Lava :: Erosion :?

Options:
A. Earthquake
B. Pain
C. River
D. Sand","கேள்வி: வெப்பமண்டலம் : மூட்டை :: கரும்பு :?

விடைகள்:
A. காய்கறி
B. பால்
C. பருப்பு
D. பால்","Question: Desert : Biscuit :: Corn :?

Options:
A. Vegetable
B. Milk
C. Flour
D. Milk"
