Formatted_Question,Answer_Hindi,Tamil_Translated
खाड़ी : भूमि :: समुद्र : ?,प्रायद्वीप,"**Translation:**

**Question:** खाड़ी : भूमि :: समुद्र : ?

**Options:**

A. टापू
B. भू-सन्धि
C. जलग्रीवा
D. प्रायद्वीप

**Answer:** B

**Translation:**

खाड़ी भूमि की तरह है, समुद्र भी एक ऐसा बड़ा सागर है।"
सफलता : खुशी :: असफलता : ?,दु:ख,"**Translation:**

Question: सफलता : खुशी :: असफलता : ?

Options:
A. क्रोध
B. दु:ख
C. प्रसन्न
D. पराजय

**Translation:**

Sucess : Happiness :: Failure : ?

Options:
A. Anger
B. Sadness
C. Pleasure
D. Defeat"
टका : बांग्लादेश :: युआन : ?,चीन,"**Translation:**

கண்டம் : বাங்காள் :: யூனான் : ?

**Options:**

A. கம்போடியா
B. இந்தியா
C. பாகிஸ்தான்
D. சீனா"
नारियल : खोल :: पत्र : ?,लिफाफा,"**Translation:**

**Question:** नारियल : खोल :: पत्र : ?

**Options:**

A. लिफाफा
B. पत्रालय
C. सन्देश
D. डाकघर

**Answer:** C. सन्देश

**Translation:**

நாரियல் : খोल :: पत्र : ?

**Options:**

A. Liftfafa
B. Patraalayam
C. Sandesh
D. Dakghar

**Answer:** C. Sandesh"
मूली : मूल :: बैंगन : ?,फल,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** मूली : मूल :: बैंगन : ?

**Options:**

A. फल
B. तना
C. फूल
D. मूल

**Translation:**

மூளி : முல் :::: ப्याங்கன் : ?

**Options:**

a. பழம்
b. தன
c. மலம்
d. முல்"
माता : बच्चे :: वृक्ष : ?,फूल,"**Translation:**

**Question:** माता : बच्चे :: वृक्ष : ?

**Options:**

A. बालवृक्ष
B. झाड़
C. झाड़ी
D. फूल

**Answer:** C. झाड़ी

**Translation:**

Maata : bacche :: vruksha : zharrhi."
पहिया : वृत्त :: सन्तरा : ?,दीर्घवृत्त,"**Translation:**

**Question:** पहिया : वृत्त :: सन्तरा : ?

**Options:**

A. बेलन
B. वर्तुल
C. दीर्घवृत्त
D. घनाभ

**Answer:** C. दीर्घवृत्त

**Translation:**

Analogously, just as पहिया is related to वृत्त, सन्तरा is related to दीर्घवृत्त."
अमरूद : फल :: गाजर : ?,जड़,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** अमरूद : फल :: गाजर : ?

**Options:**
A. तना
B. फल
C. फूल
D. जड़

**Translation:**

மல்லி : பழம் :: கдмиர் : ?

**Options:**
a. தன
b. பழம்
c. மலம்
d. இலை"
गाय : बछड़ा :: शेरनी : ?,शावक,"**Translation:**

**Question:** गाय : बछड़ा :: शेरनी : ?

**Options:**

A. शेरू
B. पिल्ला
C. शावक
D. चूजा

**Answer:** C. शावक

**Translation:**

Gaye : Bachcha :: Sherni : Shavak."
लोहा : धातु :: पीतल : ?,मिश्रधातु,"**Translation:**

**Question:** लोहा : धातु :: पीतल : ?

**Options:**

A. लोहा
B. मिश्रधातु
C. ताँबा
D. जिंक

**Answer:**

B. मिश्रधातु

**Translation:**

Loha : Dhatu :: Pietal : ???

Options:

A. Loha
B. Mishra Dhatu
C. Tanna
D. Zinc

Answer:

B. Mishra Dhatu"
लकड़ी : पॉलिश :: लोहा : ?,जस्तीकरण,"**Translation:**

Question: लकड़ी : पॉलिश :: लोहा : ?

Options:
A. उद्योग
B. अयस्क
C. खान
D. जस्तीकरण

**Translation in Tamil:**

கண்டி : பாலி :: இரும்பு : ?

வினியங்கள்:
A. உद्योग
B. அयस्क
C. খान
D. ஜस्तीकरण"
पंखुड़ी : फूल :: खिलाड़ी : ?,टीम,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** पंखुड़ी : फूल :: खिलाड़ी : ?

**Options:**

A. खेल
B. स्पोर्ट्स
C. टीम
D. प्रतियोगिता

**Translation:**

கோழி : மலம் :: விளையாடு : ?

**Options:**

a. விளையாடு
b. விளையாட்டம்
c. 팀
d. போட்டை"
पानी : प्यास :: भोजन : ?,भूख,"**Translation:**

**Question:** पानी : प्यास :: भोजन : ?

**Options:**

A. खाना
B. रसोइया
C. भूख
D. भूखे

**Answer:** A

**Translation:**

நீர் : ப्याச :: உணவம் : ?

**Options:**

A. খাணா
B. রसोई
C. ப्याச
D. ப्याசம்

**Answer:** A"
जाओ : आओ :: ऊँचा : ?,नीचा,"**Translation:**

**Question:** जाओ : आओ :: ऊँचा : ?

**Options:**

A. ऊपर
B. नीचा
C. जम्प
D. स्टैण्ड

**Answer:** A

**Translation:**

जाओ और आओ के लिए ऊँचा एक शब्द है। ऊपर शब्द भी एक शब्द है। इसलिए, जाओ : आओ :: ऊँचा : ऊपर।"
पत्ता : हरा :: दूध : ?,सफेद,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** पत्ता : हरा :: दूध : ?

**Options:**
A. भूरा
B. सफेद
C. गाय
D. दही

**Translation:**

கத்தல் : இ Greene :: தாலா : ?

**Options:**
a. பூரை
b. சாறு
c. கால்
d. தயி"
लाल : रूकना :: हरा : ?,चलना,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** लाल : रूकना :: हरा : ?

**Options:**
A. रंग
B. पेन्ट
C. दिया
D. चलना

**Translation:**

கtrzymaல் : தடுக்க :: πρά Ver : ?

**Options:**
a. வண்ணம்
b. பூச்சா
c. கொடுக்க
d. செல்ல"
कप्तान : टीम :: डायरेक्टर : ?,संस्था,"**Translation:**

கப்பतान : 팀 :: தயாரிப்பர் : ?

**Options:**

A. நோட்டம்
B. கर्मசारी
C. நிறுவனம்
D. சங்க

**Answer:** C

**Explanation:**

In this analogy, the relationship between the captain and the team is similar to the relationship between the director and the institution."
राइट : रोट :: हर्टिंग : ?,हर्ट,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** राइट : रोट :: हर्टिंग : ?

**Options:**

A. हर्टेड
B. हर्टिंग
C. हर्ट
D. हर्ट्स

**Translation:**

கடலம் : கரை :: அதிர்வம் : ?

**Options:**

a. அதிர்வம்
b. அதிர்வம்
c. கடல்
d. அதிர்வின்"
स्थूल : दुबला :: निष्क्रिय : ?,क्रियाशील,"**Translation:**

**Question:** स्थूल : दुबला :: निष्क्रिय : ?

**Options:**

A. परिश्रमी
B. सद्गुणी
C. समर्थता
D. व्यस्तता

**Answer:** C. समर्थता

**Translation:**

As the analogy goes, ""स्थूल"" is to ""दुबला"" as ""निष्क्रिय"" is to ""समर्थता""."
पत्रिका : सम्पादक :: नाटक : ?,निर्देशक,"**Translation:**

**Question:** पत्रिका : सम्पादक :: नाटक : ?

**Options:**

A. आचार्य
B. अभिनेत्री
C. पटकथा
D. निर्देशक

**Answer:** C. पटकथा

**Translation:**

Pत्रिका : सम्पादक :: Naatak : Pटकथा."
गैस : ऑक्सीजन :: द्रव : ?,जल,"**Translation:**

**Question:** गैस : ऑक्सीजन :: द्रव : ?

**Options:**

A. प्रवाह
B. वाष्प
C. नदी
D. समुद्र

**Answer:** B

**Translation:**

Gases and oxygen are two gases that are essential for life. Similarly, liquids can exist in a gaseous state when heated. Hence, the answer is B."
पैर : मनुष्य :: खुर : ?,गाय,"**Translation:**

**Question:** पैर : मनुष्य :: खुर : ?

**Options:**

A. कुत्ता
B. गाय
C. बिल्ली
D. खरगोश

**Answer:** A

**Translation:**

Paer : Manushya :: Khur : Kuttha."
पंखा : ब्लेड :: पहिया : ?,तिल्लियाँ,"**Translation:**

Question: पंखा : ब्लेड :: पहिया : ?

Options:
A. कार
B. गोल
C. तिल्लियाँ
D. वायु

**Translation in Tamil:**

கூவி : பலக :: காரை : ?

வினியங்கள்:
A. கார
B. கோல்
C. தில்லियाँ
D. வायு"
गणित : तर्क :: विज्ञान : ?,प्रयोग,"**Translation:**

**Question:** गणित : तर्क :: विज्ञान : ?

**Options:**

A. प्रयोग
B. प्रयोगशाला
C. वैज्ञानिक
D. तथ्य

**Answer:** C. वैज्ञानिक

**Translation:**

G गणित तर्क के लिए एक रणनीति है, और विज्ञान वैज्ञानिक तथों के लिए एक रणनीति है।"
ताला : चाबी :: अपराध : ?,जाँच,"**Translation:**

**Question:** ताला : चाबी :: अपराध : ?

**Options:**

A. जाँच
B. रहस्य
C. अपराधी
D. दोषसिद्धि

**Answer:** A

**Translation:**

Taala : Chaabi :: Aparadh : Achch."
सही : गलत :: सीधा : ?,वक्र,"**Translation:**

**Question:** सही : गलत :: सीधा : ?

**Options:**

A. उधार
B. झुकाव
C. वक्र
D. सुधार

**Answer:** C. वक्र"
रेडियो : श्रोता :: चलचित्र : ?,दर्शक,"**Translation:**

**Question:** रेडियो : श्रोता :: चलचित्र : ?

**Options:**

A. प्रसारण
B. आलोचक
C. अभिनेता
D. दर्शक

**Answer:** D

**Translation:**

Radio is a medium of broadcast, and Shrota is its listener. Similarly, a film is a medium of projection, and the answer to this question is दर्शक (audience)."
चाकू : कटना :: बन्दूक : ?,गोली मारना,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** चाकू : कटना :: बन्दूक : ?

**Options:**
A. खोदना
B. पकड़
C. गोली मारना
D. स्कूप

**Translation:**

கச்சுகு : கட்டனா :: பண்டுக : ?

**Options:**
a. கொடுக்கல்
b. பிடித்தல்
c. குத்தல்
d. அகற்றல்"
पुस्तक : पुस्तकालय :: चिड़िया : ?,चिड़ियाघर,"**Translation:**

**Question:** पुस्तक : पुस्तकालय :: चिड़िया : ?

**Options:**

A. पालतू
B. शिकारी
C. जंगली
D. चिड़ियाघर

**Answer:** D. चिड़ियाघर

**Translation:**

The analogy is between the book and the library, and between the chirping bird and its cage. The answer is D, chirping bird's cage."
बांध : पानी :: बैंक : ?,रुपये,"**Translation:**

Question: बांध : पानी :: बैंक : ?

Options:
A. कर्मचारी
B. रुपये
C. ग्राहक
D. बिल्डिंग

**Translation in Tamil:**

கட்டம் : நீர் :: வங்கி : ?

வினியங்கள்:
A. கर्मசாரி
B. பணம்
C. கלקா
D. கட்டகள்"
ग्रीष्म : ग्रीष्मनिष्क्रिता :: शीत : ?,शीतनिष्क्रिता,"Sure, here is the translation of the analogy from Hindi to Tamil:

**Question:** ग्रीष्म : ग्रीष्मनिष्क्रिता :: शीत : ?

**Options:**
A. शीतलता
B. शीतनिष्क्रिता
C. ठंडक
D. बर्फ

**Translation:**

கூடல் : கூடல் நோக்கம் :: குளிர் : ?

**Options:**
a. குளிர்நிலை
b. குளிர் நோக்கம்
c. தட்பம்
d. பனி"
स्वस्थ्य : बीमारी :: आनंद : ?,दु:ख,"**Translation:**

**Question:** स्वस्थ्य : बीमारी :: आनंद : ?

**Options:**

A. औषधि
B. उपचार
C. दु:ख
D. प्रसन्नचित

**Answer:** D. प्रसन्नचित

**Translation:**

स्वस्थ्य और बीमारी के लिए एक ही तरह का संबंध है, आनंद और प्रसन्नचित भी एक ही तरह का संबंध है।"
गुरुत्व : कर्ष :: चुम्बकत्व : ?,आकर्षण,"**Translation:**

கனியம் : கर्ष :: காந்தம் : ?

**Options:**

A. பৃथ्वी
B. வெள்ளம்
C. आकर्षण
D. எடை"
सिर : हैट :: अंगुली : ?,अंगूठी,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** सिर : हैट :: अंगुली : ?

**Options:**

A. दस्ताना
B. जुराब
C. कड़ा
D. अंगूठी

**Translation:**

**Question:** தலை : மட்டை :: ந Thumb : ?

**Options:**

a. கண்டம்
b. சங்கம்
c. கடு
d. ந Thumb"
मुख : अभिव्यक्ति :: संगीत : ?,धुन,"**Translation:**

**Question:** मुख : अभिव्यक्ति :: संगीत : ?

**Options:**

A. ध्वनि
B. कर्ण
C. धुन
D. यन्त्र

**Answer:** C. धुन

**Translation:**

Muq : अभिव्यक्ति :: Sanget : Dhun."
दिवस : रात्रि :: गोधूलिवेला : ?,ऊषाकाल,"**Translation:**

**Question:** दिवस : रात्रि :: गोधूलिवेला : ?

**Options:**

A. प्रात:काल
B. मध्याह्न
C. सायंकाल
D. ऊषाकाल

**Answer:** C. सायंकाल

**Translation:**

As the day and night are opposites, the answer to this analogy is the night."
चौड़ा : संकीर्ण :: पैना : ?,धारहीन,"**Translation:**

**Question:** चौड़ा : संकीर्ण :: पैना : ?

**Options:**

A. धारहीन
B. नुकीला
C. चाकू
D. खुरदरा

**Answer:**

The answer is B.

**Translation:**

चौड़ा संकीर्ण के लिए एक चौड़ा है, जैसा कि पैना नुकीला के लिए एक पैना है।"
स्वरसमता : संगीतकार :: पुस्तक : ?,लेखक,"**Translation:**

**Question:** स्वरसमता : संगीतकार :: पुस्तक : ?

**Options:**

A. प्रकाशक
B. लेखक
C. मुद्रक
D. प्रायोजक

**Answer:** B

**Translation:**

स्वरसमता के लिए संगीतकार की तरह, पुस्तक के लिए भी एक लेखक है।"
पक्षी : पक्षी वैज्ञानिक :: कीट : ?,कीट वैज्ञानिक,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** पक्षी : पक्षी वैज्ञानिक :: कीट : ?

**Options:**

A. पशु वैज्ञानिक
B. जीव वैज्ञानिक
C. कीट वैज्ञानिक
D. मुद्रा वैज्ञानिक

**Translation:**

கிண்ணி : கறிவியியல் :: கீட்டு : ?

**Options:**

a. விலங்கியல்
b. உயிரியல்
c. கீட்டு வěज्ञानியல்
d. பணம்"
गड़बड़ : दोष :: प्रवेशक : ?,मार्गदर्शक,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** गड़बड़ : दोष :: प्रवेशक : ?

**Options:**

A. भीड़भाड़
B. मौन
C. शान्ति
D. मार्गदर्शक

**Translation:**

கர்ப்பம் : குறை :: அறிமுகம் : ?

**Options:**

a. இனியம்
b. மனம்
c. அமைதி
d. வழிகாட்டல்"
कीड़ा : रोग :: युद्ध : ?,विनाश,"**Translation:**

**Question:** कीड़ा : रोग :: युद्ध : ?

**Options:**

A. सेना
B. पराजय
C. शस्त्रागार
D. विनाश

**Answer:** C

**Translation:**

कीड़ा रोग के लिए एक रोग है। युद्ध भी एक शक्ति है। इसलिए, युद्ध शस्त्रागार के लिए एक रोग है।"
बाँसुरी वादक : बाँसुरी :: सेलोवादक : ?,वायलनसेला,"**Translation:**

**Question:** बाँसुरी वादक : बाँसुरी :: सेलोवादक : ?

**Options:**

A. वायलिन
B. ड्रम्स
C. मँजीरा
D. वायलनसेला

**Answer:** D. वायलनसेला

**Translation:**

Baansuri vadak : Baansuri :: Seloswadak : Vayalasela."
प्रतिरोध : ओम :: विद्युतधारा : ?,एम्पियर,"**Translation:**

**Question:** प्रतिरोध : ओम :: विद्युतधारा : ?

**Options:**

A. फैराडे
B. रेडियन
C. एम्पियर
D. वोल्ट

**Answer:** The answer is D. Volt.

**Translation:**

प्रतिरोध ओम के बराबर विद्युतधारा के लिए एक माप है। वोल्ट एक इकाई है जो विद्युतधारा के प्रतीपता के लिए उपयोग किया जाता है।"
सुवास : सुगन्ध :: शहद : ?,मिठास,"**Translation:**

**Question:** सुवास : सुगन्ध :: शहद : ?

**Options:**

A. तरल
B. मिठास
C. भूरा
D. क्रिस्टल

**Answer:** B

**Translation:**

Suवास और सुगन्ध के बीच एक संबंध है। शहद भी एक ऐसा पदार्थ है जो सुगन्ध के लिए प्रसिद्ध है।"
प्रफुल्लित : रुखा :: बहादुर : ?,कायर,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** प्रफुल्लित : रुखा :: बहादुर : ?

**Options:**
A. ऊटपटांग
B. आदर्श
C. सुस्त
D. कायर

**Translation:**

கண்டுகம் : திடே :: வீரர் : ?

**Options:**
A. உத்தமம்
B. நல்லம்
C. மென்மையம்
D. தயக்கம்"
सिर : बाल :: हाथ : ?,उँगली,"**Translation:**

Question: सिर : बाल :: हाथ : ?

Options:
A. उँगली
B. कान
C. गर्दन
D. घुटना

**Translation in Tamil:**

கேள் : மயிரம் :: கை : ?

வினியங்கள்:
A. உங்கல்கள்
B. கান
C. கரடு
D. கது முதுகு"
सविनय : विनम्र :: निराश्रित : ?,गरीब,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** सविनय : विनम्र :: निराश्रित : ?

**Options:**
A. समृद्ध
B. पर्याप्त
C. धनी
D. गरीब

**Translation:**

கண்டி : வினமர் :: தோல்மி : ?

**Options:**
a. செம்மியம்
b. போதுமானம்
c. செல்வம்
d. ஏழை"
चलना : दौड़ना :: पवन : ?,तूफान,"**Translation:**

**Question:** चलना : दौड़ना :: पवन : ?

**Options:**

A. मौसम
B. वायु
C. वर्षा
D. तूफान

**Answer:** B

**Translation:**

चलना : दौड़ना :: पवन : वायु."
लखनऊ : उत्तर प्रदेश :: राँची : ?,झारखण्ड,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** लखनऊ : उत्तर प्रदेश :: राँची : ?

**Options:**
A. ओडिशा
B. झारखण्ड
C. उत्तराखण्ड
D. छत्तीसगढ़

**Translation:**

லखनऊ : उत्तर प्रदेश :: राँची : ?

கேள்வி: லखநூ : उत्तर प्रदेश :: Ranchi : ?

**Answer:**

The answer is B.

**Translation of the answer:**

Ranchi : Jharkhand."
चित्र : देखना :: पुस्तक : ?,पढ़ना,"**Translation:**

**Question:** चित्र देखना :: पुस्तक :?

**Options:**

A. खरीदना
B. पढ़ना
C. सुनना
D. पुस्तकालय

**Answer:** C. सुनना

**Translation:**

படங்களை দেখना :: புस्तகத்தை :?

**Options:**

A. வாங்கना
B. இறுக்கना
C. கேடना
D. புस्तकालय

**Answer:** C. கேடना"
दयालु : परोपकारी :: दु:खी : ?,विलापी,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** दयालु : परोपकारी :: दु:खी : ?

**Options:**
A. क्रोध
B. सत्य
C. विलापी
D. प्रसन्नता

**Translation:**

கருணை : நன்மறை :: துக்கம் : ?

**Options:**
a. கோபம்
b. உண்மை
c. விलाசம்
d. மகிழ்ச்சி"
