Formatted_Question,Answer_Hindi,Tamil_Translated
विम्बलडन ट्रॉफी : टेनिस :: वाकर कप : ?,गोल्फ,"**Translation:**

விम्बलडन ட்ரॉफी : টेनिस :: வாकर கப : ?

**Options:**

A. হॉकी
B. பாலா
C. गोल्फ
D. குश्ती"
डॉक्टर : अस्पताल :: शिक्षक : ?,स्कूल,"**Translation:**

**Question:** डॉक्टर : अस्पताल :: शिक्षक : ?

**Options:**

A. कार्यालय
B. स्कूल
C. घर
D. फील्ड

**Answer:** B

**Translation:**

Doctor is related to hospital in the same way as teacher is related to school."
निर्माता : फिल्म :: लेखक : ?,पुस्तक,"**Translation:**

**Question:** निर्माता : फिल्म :: लेखक : ?

**Options:**

A. भोजन
B. अखबार
C. पुस्तक
D. कविता

**Answer:** C. पुस्तक

**Translation:**

निर्माता film के लिए एक निर्माता है, और लेखक पुस्तकों के लिए एक लेखक है।"
कलम : लेखक :: तलवार : ?,योद्धा,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** कलम : लेखक :: तलवार : ?

**Options:**

A. बढ़ई
B. योद्धा
C. दर्जी
D. किसान

**Translation:**

கலம் : எழுத்தாளர் :: தलवार : ?

**Options:**

a. बढ़ई
b. யோद्धा
c. தர்जी
d. க விசान"
नेत्र : निकट दृष्टि :: दांत : ?,पाइरिया,"**Translation:**

**Question:** नेत्र : निकट दृष्टि :: दांत : ?

**Options:**

A. पाइरिया
B. मोतियाबिंद
C. ट्रेकोमा
D. एक्जिमा

**Answer:** B

**Translation:**

Netr (eyes) : Nikat Drishti (near vision) :: Daant (teeth) : Motiya Biind (teeth grinding)."
ओटावा : कनाडा :: कैनबरा : ?,ऑस्ट्रेलिया,"**Translation:**

கண்டம் ஆதாவா : கனடா :: கனப்ரா : ?

**Options:**

A. அர்ஜென்தீனா
B. சுவிட்சர்லாנד
C. இலங்கா
D. ஆஸ்திரேலியா"
रेस : थकान :: उपवास : ?,भूख,"**Translation:**

**Question:** रेस : थकान :: उपवास : ?

**Options:**

A. भूख
B. नींद
C. ऊर्जा
D. रोग

**Answer:** B

**Translation:**

रेस और थकान के बीच एक संबंध है। उपवास भी एक ऐसा कार्य है जो थकान से राहत दे सकता है।"
स्केल : लंबाई :: ओडोमीटर : ?,गति,"**Translation:**

கண்டம் : நீளம் :: ஆடோमीटर : ?

**Options:**

A. வெப்பம்
B. கடவம்
C. வேகம்
D. மழை"
बेटा : बेटी :: भतीजा : ?,भतीजी,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** बेटा : बेटी :: भतीजा : ?

**Options:**
A. लड़की
B. लेडी
C. चचेरा
D. भतीजी

**Translation:**

கSon : மகள் :: பணியர் : ?

**Options:**
a. பெண்
b. அம்מא
c. தோல்
d. பணியம்"
विषाणु विज्ञान : वायरस :: कीटविज्ञान : ?,कीड़े,"**Translation:**

**Question:** विषाणु विज्ञान : वायरस :: कीटविज्ञान : ?

**Options:**

A. कीड़े
B. पशु
C. कवक
D. मछलियां

**Answer:** A

**Translation:**

विषाणु विज्ञान और वायरस के बीच एक संबंध है। कीटविज्ञान और कीड़े के बीच भी एक संबंध है।"
कलम : लिखना :: बंदूक : ?,गोली मारना,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** कलम : लिखना :: बंदूक : ?

**Options:**

A. खुदाई
B. गोली मारना
C. काटना
D. गार्ड

**Translation:**

கலம் : எழுது :: பண்டுக : ?

**Options:**

a. খুदाई
b. கோல் மারना
c. கاطना
d. கார்ட"
झगड़ा : युद्ध :: नाखुश : ?,दुख,"**Translation:**

**Question:** झगड़ा : युद्ध :: नाखुश : ?

**Options:**

A. खुश
B. दुख
C. इनकार
D. अस्वीकार

**Answer:** B

**Translation:**

झगड़ा और युद्ध के बीच एक संबंध है। नाखुश और दुख भी एक ऐसा संबंध है।"
लाल किला : दिल्ली :: स्वर्ण मंदिर : ?,अमृतसर,"**Translation:**

**Question:** लाल किला : दिल्ली :: स्वर्ण मंदिर : ?

**Options:**

A. आगरा
B. अमृतसर
C. जामा मस्जिद
D. ताजमहल

**Answer:** B

**Translation:**

लाल किला दिल्ली के लिए एक लाल किला है। स्वर्ण मंदिर अमृतसर के लिए एक स्वर्ण मंदिर है।"
दीप : उथला :: स्वतंत्रता : ?,अनुशासन,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** गहरा : उथला :: स्वतंत्रता : ?

**Options:**

A. डेमोक्रेसी
B. अपराधी
C. जेल
D. अनुशासन

**Translation:**

கனியை உயரவிடத்திற்கு :: சுதந்திரता :?

**Options:**

a. ডেমோק्रेसी
b. ஆபரவி
c. சிறை
d. கட்டுப்பா"
असली : प्रामाणिक :: मृगतृष्णा : ?,भ्रम,"**Translation:**

**Question:** असली : प्रामाणिक :: मृगतृष्णा : ?

**Options:**

A. छवि
B. वाष्पोत्सर्जन
C. प्रतिबिंब
D. भ्रम

**Answer:** C

**Translation:**

Asli is real and authentic, just like Mrigaratr is a reflection."
स्याम देश : बिल्ली :: रोमेन : ?,सलाद,"**Translation:**

**Question:** स्याम देश : बिल्ली :: रोमेन : ?

**Options:**

A. नस्ल
B. पिल्ला
C. स्थान
D. सलाद

**Answer:** C. स्थान

**Translation:**

ச्यामநாடு நாடு : பिल्ली :: रोमेன : ?

கேள்வி: ச्यामநாடு நாடு : பिल्ली :: रोमेன : ?

வினியங்கள்:

A. நस्ल
B. பिल्ला
C. இடம்
D. சलाद"
फिंच : पक्षी :: डेलमेटियन : ?,कुत्ता,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** फिंच : पक्षी :: डेलमेटियन : ?

**Options:**
A. टॉड
B. सरीसृप
C. कुत्ता
D. धानी

**Translation:**

கிழவி : பक्षி :: டெல்மेटியன் : ?

**Options:**
a. தோட்
b. சரிசृப்
c. கत्ता
d. தானி"
पंखुड़ी : फूल :: टायर : ?,साइकिल,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** पंखुड़ी : फूल :: टायर : ?

**Options:**

A. काली मिर्च
B. साइकिल
C. गेंद
D. जूते

**Translation:**

கூம்பி : மலர் :: தார : ?

**Options:**

a. காரி மிச்ச
b. சைக்கல்
c. கண்ட
d. காலா"
लेखन : साहित्यिक चोरी :: पैसा : ?,दुर्विनियोजन,"**Translation:**

**Question:** लेखन : साहित्यिक चोरी :: पैसा : ?

**Options:**

A. धोखे
B. दुर्विनियोजन
C. चोरी
D. रोग

**Answer:** C. चोरी

**Translation:**

Analogously, just as लेखन is related to साहित्यिक चोरी, पैसा is related to चोरी."
संघनन : ठण्डा :: वाष्पीकरण : ?,गर्मी,"**Translation:**

**Question:** संघनन : ठण्डा :: वाष्पीकरण : ?

**Options:**

A. गर्मी
B. कुक
C. सुनना
D. खरीद

**Answer:** A

**Translation:**

संघनन ठण्डा करने के बराबर है, और वाष्पीकरण गर्मी लाने के बराबर है।"
दाँत : चबाना :: मन : ?,सोचना,"**Translation:**

**Question:** दाँत : चबाना :: मन : ?

**Options:**

A. सोचना
B. गर्मी
C. स्वाद
D. झिलमिलाहट

**Answer:** C. स्वाद

**Translation:**

Daant : Chabaana :: Man : Swaad."
आंख : आँसू :: ज्वालामुखी : ?,लावा,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** आंख : आँसू :: ज्वालामुखी : ?

**Options:**
A. जल
B. लावा
C. धमनी
D. रोटी

**Translation:**

கண்ணம் : அண்ணி :: சூரிய முகம் : ?

**Options:**
a. நீர்
b. লাவம்
c. தீம்
d. மोटம்"
लॉन : घास :: खाल : ?,फर,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** लॉन : घास :: खाल : ?

**Options:**
A. भेड़
B. बकरी
C. फर
D. खेत

**Translation:**

கள் : கொடி :: கால் : ?

**Options:**
a. வெற்றி
b. பசு
c. பர்
d. களம்"
टेलीफोन : रिंग :: दरवाज़ा : ?,दस्तक,"**Translation:**

கேள்: தொலைபேசி : வசல் :: வாசல் : ?

வினியம்:

a. திசா
b. திறந்த
c. இலக்கியம்
d. கவிழல்"
हमेशा : कभी नहीं :: अक्सर : ?,शायद,"**Translation:**

**Question:** हमेशा : कभी नहीं :: अक्सर : ?

**Options:**

A. शायद
B. आम तौर पर
C. बहुधा
D. लापरवाही

**Answer:**

B. आम तौर पर

**Translation:**

 हमेशा और कभी नहीं के लिए एक निश्चित संबंध है। अक्सर भी ऐसा होता है।"
अपमान : अपमानित :: गोली मारना : ?,हत्या,"**Translation:**

**Question:** अपमान : अपमानित :: गोली मारना : ?

**Options:**

A. हत्या
B. अनादर
C. भौंकना
D. कड़ुआ

**Answer:** B

**Translation:**

अपमान और अपमानित के लिए एक समानता है। गोली मारना भी एक ऐसा कार्रवाई है जो अपमान के लिए एक ही है।"
सैनिक : रेजिमेंट :: कुंडली : ?,मोटर,"**Translation:**

Question: सैनिक : रेजिमेंट :: कुंडली : ?

Options:
A. बेयरिंग
B. मोटर
C. प्रिंटर
D. गैस

**Answer:** C

**Translation:**

Sैनिक : रेजिमेंट :: कुंडली : प्रिंटर."
समीर : आंधी :: टपकना : ?,धार,"**Translation:**

**Question:** समीर : आंधी :: टपकना : ?

**Options:**

A. नक्क़ाशी
B. कली
C. धार
D. सड़ांध

**Answer:** C. धार

**Translation:**

Semir is to Andhra as Tappukana is to Dhar."
कभी कभी : दुर्लभ :: अक्सर : ?,आमतौर पर,"**Translation:**

**Question:** कभी कभी : दुर्लभ :: अक्सर : ?

**Options:**

A. कभी कभी
B. आमतौर पर
C. चुनिंदा
D. बराबर

**Answer:** B

**Translation:**

கன கன : அரிதம் :: அक्सर : ?

**Options:**

A. கன கன
B. அத்திரம்
C. தேர்ந்த
D. சமம்

**Answer:** B"
मृगनयनी : हिरन :: साँड़ : ?,गाय,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** मृगनयनी : हिरन :: साँड़ : ?

**Options:**

A. शुतुरमुर्ग
B. साँड़
C. गदहा
D. गाय

**Translation:**

மृगனயनी : হिरன் :: சாண்ட : ?

**Options:**

a. சதுரमुर्ग
b. சாண்ட
c. கதहा
d. கाय"
कुँवारी : कुँवारा :: गाय : ?,बैल,"**Translation:**

**Question:** कुँवारी : कुँवारा :: गाय : ?

**Options:**

A. हाथी
B. चिकन
C. लोमडी
D. बैल

**Answer:** B

**Translation:**

कुँवारी : कुँवारा :: गाय : चिकन."
उषाकाल : सन्ध्या :: प्रस्तावना : ?,उपसंहार,"**Translation:**

Question: उषाकाल : सन्ध्या :: प्रस्तावना : ?

Options:
A. दिन
B. நब्बे
C. उपसंहार
D. शाम

**Translation:**

Question: உஷா காலம் : சन्ध्या :: முன்னிப்பு : ?

Options:
A. ந દিন
B. நब्बे
C. உਪசம்
D. இரவு"
मियामी : फ्लोरिडा :: अल्बानी : ?,न्यूयॉर्क,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** मियामी : फ्लोरिडा :: अल्बानी : ?

**Options:**

A. न्यूयॉर्क
B. अल्बानी
C. सिडनी
D. अमेरिका

**Translation:**

மியमी : ஃப्लோரிடா :: அल्बानी : ?

**Options:**

a. நியூயார்க
b. அल्बानी
c. சிட்नी
d. அமெரிका"
ज्वालामुखी : लावा :: खसकाना : ?,भूकंप,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** ज्वालामुखी : लावा :: खसकाना : ?

**Options:**

A. भूकंप
B. दुख
C. नदी
D. रेत

**Translation:**

கீழைச் சூறா : இரவம் :: கசக்கா : ?

**Options:**

a. பூக்கம்
b. துக்கம்
c. நதி
d. மழை"
