Tamil_Translated,Original_Hindi,Reversed_Hindi,Answer_Hindi
"கேள்வி: பார்லியாமென்ட் : கிரேட் பிரிட்டன் :: காங்ரஸ் : ?
விருந்துகள்:
A. ஜப்பான்
B. இந்தியா
C. யூ.எஸ்.ஏ
D. நீதர்லாந்து

விடை: C. யூ.எஸ்.ஏ",पार्लियामेन्ट : ग्रेट ब्रिटेन :: काँग्रेस : ?,"प्रश्न: संसद : ग्रेट ब्रिटेन :: कांग्रेस : ?  
विकल्प:  
A. जापान  
B. भारत  
C. संयुक्त राज्य अमेरिका  
D. नीदरलैंड  

उत्तर: C. संयुक्त राज्य अमेरिका",यूएसए
"கேள்வி: தொடர்பு: மீன் :: நடைப்போடு: ?

வினாடிகள்:
A. கோழி
B. மேனிலை
C. குருதி
D. கோடி

விடை: B. மேனிலை",तैरना : मछली :: रेंगना : ?,"प्रश्न: संबंध: मछली :: चल रहा है: ?  
विकल्प:  
A. गरुड़  
B. उच्चतम  
C. रक्त  
D. कोटि  

उत्तर: B. उच्चतम",साँप
"கேள்வி: சோதனை : கவனம் :: நோய் : ?
வினாடி வினாக்கள்:
A. பாக்டீரியம்  
B. பாதிப்பு  
C. சுத்தம்  
D. மருத்துவர்",दुर्घटना : सावधानी :: बीमारी : ?,"प्रश्न: परीक्षण : ध्यान :: बीमारी : ?  
समय आधारित प्रश्न:  
A. बैक्टीरिया  
B. बीमारी  
C. स्वच्छता  
D. चिकित्सक",स्वच्छता
"கேள்வி: தொழிற்சாலை : உற்பத்தி :: பள்ளி : ?  
வினாடி:  
A. கட்டுமானம்  
B. கல்வி  
C. ஆசிரியர்  
D. கட்டுப்பாடு  

விடை: B. கல்வி",फैक्ट्री : उत्पादन :: स्कूल : ?,"प्रश्न: औद्योगिक इकाई : उत्पादन :: स्कूल : ?  
समय:  
A. निर्माण  
B. शिक्षा  
C. शिक्षक  
D. नियंत्रण  

उत्तर: B. शिक्षा",शिक्षा
"கேள்வி: நீதி : நீதிமன்ற :: பள்ளி : ?

விருப்பங்கள்:
A. ஆசிரியர்  
B. மாணவர்  
C. பகுதி  
D. கல்வி  

விடை: D. கல்வி",न्याय : अदालत :: विद्यालय : ?,"प्रश्न: न्याय : न्यायालय :: विद्यालय : ?  
विकल्प:  
A. शिक्षक  
B. विद्यार्थी  
C. भाग  
D. शिक्षा  

उत्तर: D. शिक्षा",शिक्षा
"கேள்வி: உன் : பாம்பு :: துரும்பு : ?

வினாடி வினாடி:  
A. தசர்  
B. கீடு  
C. மெழுகு மீன்  
D. மல்பரி",ऊन : भेड़ :: रेशम : ?,"प्रश्न: तुम : मगर :: बर्फ : ?  
एक एक क्षण:  
A. तसर  
B. कीड़ा  
C. मेलकोर मछली  
D. मल्परी",कीड़ा
"கேள்வி: டாக்டர் : ஸ்டெத்தோஸ்கோப் :: பென்டர் : ?
விருப்பங்கள்:
A. பென்டிங்  
B. பிரிஸ்  
C. தோற்றம்  
D. கலை  

விடை: B. பிரிஸ்",डॉक्टर : स्टेथोस्कोप :: पेन्टर : ?,"प्रश्न: डॉक्टर : स्टेथोस्कोप :: पेंडर : ?  
विकल्प:  
A. पेंडिंग  
B. प्रिस  
C. दिखावा  
D. कला  

उत्तर: B. प्रिस",ब्रश
"கேள்வி: மருந்து : குறைவு :: புத்தகம் : ?  
முக்கியத்துவம்:  
A. அறிவில்லமை  
B. எழுதுதல்  
C. அறிவு  
D. நோய்  

விடை: C. அறிவு",औषधि : कमजोरी :: किताब : ?,"प्रश्न: दवा : कमी :: किताब : ?  
महत्व:  
A. ज्ञानहीनता  
B. लेखन  
C. ज्ञान  
D. बीमारी  

उत्तर: C. ज्ञान",अज्ञानता
"கேள்வி: பைரியா : புற்கள் :: ட்ராக்மா : ?

விடை விருப்பங்கள்:
A. காது
B. நாசி
C. கண்
D. கருத்தரிவு

சரியான விடை: C. கண்",पायरिया : दाँत :: ट्रकोमा : ?,"प्रश्न: पैरिया : आंखें :: ट्रैकमा : ?  
विकल्प:  
A. कान  
B. नाक  
C. आंख  
D. विचार  
सही उत्तर: C. आंख",आँख
"கேள்வி: கைக்கட்டி : நேரம் :: வேக அளவி : ?

விருப்பங்கள்:
A. வேகம்  
B. தூரம்  
C. கைக்கட்டி  
D. பொடி  

விடை: A. வேகம்",घड़ी : समय :: स्पीड मीटर : ?,"प्रश्न: हाथ की छोटी छवि : समय :: गति मापक : ?  
विकल्प:  
A. गति  
B. दूरी  
C. हाथ की छोटी छवि  
D. धूल  

उत्तर: A. गति",रफ्तार
"கேள்வி: கல்வி இல்லாதவர் : கல்வி :: நோயாளி : ?
விருந்துரைகள்:
A. மருந்து
B. மருத்துவர்
C. கல்வி அளிப்பவர்
D. சுவாசக் காணிக்கை

விடை: B. மருத்துவர்",अशिक्षित : शिक्षा :: रोगी : ?,"प्रश्न: शिक्षा रहित व्यक्ति : शिक्षा :: रोगी : ?  
विकल्प:  
A. दवा  
B. चिकित्सक  
C. शिक्षा देने वाला  
D. श्वास चेकअप  

उत्तर: B. चिकित्सक",औषधि
"கேள்வி: போர்த்திருத்தல் : நடவடிக்கை :: ராஜத்திருத்தல் : ?

விருப்பங்கள்:
A. ராஜத்திருத்தம்  
B. குழப்பம்  
C. சித்திரம்  
D. ஊக்குவிப்பு  

விடை: A. ராஜத்திருத்தம்",युद्धनीतिज्ञ : अभियान :: राजनीतिज्ञ : ?,"प्रश्न: प्रजातन्त्र : कार्यवाही :: राजतन्त्र : ?  
विकल्प:  
A. राजतन्त्रांतरण  
B. विपत्ति  
C. चित्र  
D. प्रेरणा  
उत्तर: A. राजतन्त्रांतरण",राजनीति
"கேள்வி: மதிப்பு நிர்ணயம் : கட்டடம் :: ஆய்வாளர் : ?

விடை விருப்பங்கள்:
A. இலைமரம்  
B. மிகச் சிறந்த கைவினை  
C. நீதிபதி  
D. புத்தகம்  

விடை: C. நீதிபதி",मूल्य निर्धारक : भवन :: समीक्षक : ?,"प्रश्न: मूल्यांकन : इमारत :: अनुसंधानकर्ता : ?  
विकल्प:  
A. पत्रकार  
B. बहुत अच्छा हाथ काम  
C. न्यायाधीश  
D. किताब  

उत्तर: C. न्यायाधीश",पुस्तक
"கேள்வி: தேனீ : கீரை :: தக்காளி : ?

விடை விருப்பங்கள்:
A. மண்
B. தொட்டி
C. பருப்பு
D. தோட்டம்

விளக்கம்: இந்த ஒப்பீட்டு வினாவில், தேனீ மற்றும் கீரையின் உறவு தக்காளி மற்றும் அதன் பொருளாக இருக்கும் வினைமுறையை காட்டுகிறது. தேனீயிலிருந்து கீரை கிடைக்கிறது, அதேபோல் தக்காளியிலிருந்து பருப்பு கிடைக்கிறது. எனவே சரியான பதில் C. பருப்பு.",दूध : क्रीम :: धान : ?,"प्रश्न: मधुमक्खी : पत्ता :: टमाटर : ? 

विकल्प:
A. मिट्टी
B. बर्तन
C. चना
D. बगीचा

स्पष्टीकरण: इस तुलनात्मक प्रश्न में, मधुमक्खी और पत्ते के बीच संबंध टमाटर और उसके उत्पाद के बीच संबंध को दर्शाता है। मधुमक्खी से पत्ता प्राप्त होता है, इसी तरह टमाटर से चना प्राप्त होता है। इसलिए सही उत्तर C",चावल
"கேள்வி: களைக்கால் : கடல் :: குறுக்கு : ?  
விடை விருப்பங்கள்:  
A. காற்றுநிலை  
B. களைக்கால்  
C. தாலாபம்  
D. குழாய்  

(மொழிபெயர்ப்பு: கூடு : கூடு :: செல்லாத : ?)",गहरा : महासागर :: उथला : ?,"प्रश्न: कूड़ा : बर्फ़ :: नकारात्मक : ?  
उत्तर विकल्प:  
A. हवा की स्थिति  
B. कूड़ा  
C. तालाप  
D. नल",तालाब
"கேள்வி: பாதரை : சோகா :: வகீல் : ?

விடை விருப்பங்கள்:
A. கோடு  
B. டோபி  
C. லபாதா  
D. டை  

விடை: D. டை",पादरी : चोगा :: वकील : ?,"प्रश्न: पत्थर : दुःख :: वकील : ?  
विकल्प:  
A. रेखा  
B. टोपी  
C. लाभांश  
D. टाई  

उत्तर: D. टाई",कोट
"கேள்வி: பெருங்கடல் : தொட்டி :: கிலோமீட்டர் : ?

விடை விருப்பங்கள்:
A. மீட்டர்  
B. மில்லிமீட்டர்  
C. சென்டிமீட்டர்  
D. டெசிமீட்டர்",महासागर : तालाब :: किलोमीटर : ?,"प्रश्न: सागर : बरतन :: किलोमीटर : ?  
विकल्प:  
A. मीटर  
B. मिलीमीटर  
C. सेंटीमीटर  
D. डेसीमीटर",मिलीमीटर
"கேள்வி: பாதம் : கால்நீட்டி :: கை : ?

வினாடிகள்:
A. கைப்பை
B. பக்கம்
C. கால்நீட்டி
D. எழுதுதல்

விடை: C. கால்நீட்டி",पैर : जूते :: हाथ : ?,"प्रश्न: पैर : पैर के बढ़ावा :: हाथ : ?  
विकल्प:  
A. बैग  
B. ओर  
C. पैर के बढ़ावा  
D. लिखना  
उत्तर: C. पैर के बढ़ावा",दस्ताना
"கேள்வி: கடல் : மண் :: பெருங்கடல் : ?

வினாடி வினாக்கள்:
A. தீவு  
B. தீவு கடல்  
C. நீர்ப் பை  
D. பிராயத்தின்  

விடை: A. தீவு",खाड़ी : भूमि :: समुद्र : ?,"प्रश्न: सागर : मिट्टी :: बड़ा सागर : ?  
समय आधारित प्रश्न:  
A. द्वीप  
B. द्वीप सागर  
C. जल बैग  
D. उम्र का  

उत्तर: A. द्वीप",प्रायद्वीप
"கேள்வி: வெற்றி : மகிழ்ச்சி :: தோல்வி : ?  
வினாடி:  
A. துர்ப்பெருமான்  
B. வேதனை  
C. மகிழ்ச்சி  
D. தோல்வி  

விடை: B. வேதனை",सफलता : खुशी :: असफलता : ?,"प्रश्न: विजय : खुशी :: पराजय : ?  
समय:  
A. दुःखी  
B. दुख  
C. खुशी  
D. पराजय  

उत्तर: B. दुख",दु:ख
"கேள்வி: டாலர் : பாங்களாதேசம் :: யுவான் : ?

விடை தெரிவு:
A. கம்போடியா  
B. இந்தியா  
C. பாகிஸ்தான்  
D. சீனா",टका : बांग्लादेश :: युआन : ?,"प्रश्न: डॉलर : बैंक देश :: युआन : ?  
उत्तर चयन:  
A. कम्बोडिया  
B. भारत  
C. पाकिस्तान  
D. चीन",चीन
"கேள்வி: நாரியல் : திறப்பு :: பத்திரம் : ?

விடை தேர்வு:
A. லிப்பாஃபா  
B. பத்திராலயம்  
C. செய்திகள்  
D. தாக்கல் அலுவலகம்  

விளக்கம்: நாரியல் திறக்கப்படும் போது அதன் உட்புறம் வெளியே வருகிறது. இது ஒரு ஒப்புமை கூறுவது, பத்திரம் திறக்கப்படும் போது அதன் உட்புறம் வெளியே வருகிறது. இதனால் பத்திரம் திறக்கப்படும் போது அதன் உட்புறம் வெளியே வரும். எனவே சரியான விடை ""A. லிப்பாஃபா"" ஆகும்.",नारियल : खोल :: पत्र : ?,"प्रश्न: नारियल : खोलना :: पत्र : ?  
विकल्प:  
A. लिप्पा फाँट  
B. पत्रालय  
C. समाचार  
D. दाखिला आवास  

व्याख्या: जब नारियल को खोला जाता है तो उसके अंदर की चीज बाहर आ जाती है। यह एक तुलना है, जब पत्र को खोला जाता है तो उसके अंदर की चीज बाहर आ जाती है। इसलिए पत्र को खोलने पर उसके अंदर की �",लिफाफा
"கேள்வி: முல்லை : மூல :: பேங்கான் : ?

வினாடிகள்:
A. பழம்  
B. தண்ணீர்  
C. மலர்  
D. மூலம்  

விடை: B. தண்ணீர்",मूली : मूल :: बैंगन : ?,"प्रश्न: मुल्लई : मूल :: पैंगान : ?  
विकल्प:  
A. अंगूठा  
B. पानी  
C. फूल  
D. मूल  

उत्तर: B. पानी",फल
"கேள்வி: தாய் : குழந்தை :: மரம் : ?
விருப்பங்கள்:
A. குழந்தை மரம்  
B. காடு  
C. குற்றாலம்  
D. பூ

விடை: C. குற்றாலம்",माता : बच्चे :: वृक्ष : ?,"प्रश्न: माँ : बच्चा :: वृक्ष : ?  
विकल्प:  
A. बच्चा वृक्ष  
B. वन  
C. कुटुम्बलय  
D. पुष्प  
उत्तर: C. कुटुम्बलय",फूल
"கேள்வி: பீரியா : வட்டம் :: சாரா : ?

வினாடி விடை:
A. கோள்  
B. வட்டம்  
C. நீள்வட்டம்  
D. கன நீள்வட்டம்",पहिया : वृत्त :: सन्तरा : ?,"प्रश्न: पिरामिड : वृत्त :: सारा : ?  
समय उत्तर:  
A. गोला  
B. वृत्त  
C. अतिरिक्त वृत्त  
D. ठोस अतिरिक्त वृत्त",दीर्घवृत्त
"கேள்வி: அமருதம் : பழம் :: கேரி : ?

பிரிவுகள்:
A. தாவரம்  
B. பழம்  
C. மலர்  
D. மூத்திரை  

விடை: D. மூத்திரை",अमरूद : फल :: गाजर : ?,"प्रश्न: अमृत : फल :: कैरी : ?  
विकल्प:  
A. पादप  
B. फल  
C. पुष्प  
D. मूत्र  

उत्तर: D. मूत्र",जड़
"கேள்வி: கோமான் : குட்டி :: கூட்டும் மாடு : ?

வினாடி வினாக்கள்:
A. கூட்டும் மாடு
B. குட்டி
C. சிறுமிகள்
D. சூஜா

விடை: C. சிறுமிகள்",गाय : बछड़ा :: शेरनी : ?,"प्रश्न: कोमान : बच्चा :: गोता लेने वाला गाय : ?  
समय समाधान:  
A. गोता लेने वाला गाय  
B. बच्चा  
C. छोटी लड़कियाँ  
D. सूजा  

उत्तर: C. छोटी लड़कियाँ",शावक
"கேள்வி: இரும்பு : தாமிரம் :: பீதி : ?  
வினாடி:  
A. இரும்பு  
B. மிஸ்ரதாமிரம்  
C. தாமிரம்  
D. ஜிங்க்",लोहा : धातु :: पीतल : ?,"प्रश्न: लोहा : तांबा :: डर : ?  
समय:  
A. लोहा  
B. मिस्रतांबा  
C. तांबा  
D. जिंग",मिश्रधातु
"கேள்வி: காகிதம் : பொலிஸ் :: இரும்பு : ?

விடை விருப்பங்கள்:
A. தொழில்  
B. அயல்வைரம்  
C. குழு  
D. ஜஸ்டிகேஷன்  

விடை: D. ஜஸ்டிகேஷன்",लकड़ी : पॉलिश :: लोहा : ?,"प्रश्न: कागज : पुलिस :: लोहा : ?  
विकल्प:  
A. व्यवसाय  
B. अयलवैरम  
C. समूह  
D. न्याय  
उत्तर: D. न्याय",जस्तीकरण
"கேள்வி: பங்குடி : மலர் :: விளையாட்டாளர் : ?

வினாடி வினாக்கள்:
A. விளையாட்டு  
B. விளையாட்டு விளையாட்டு  
C. குழு  
D. போட்டி  

விடை: D. போட்டி",पंखुड़ी : फूल :: खिलाड़ी : ?,"प्रश्न: भागीदार : फूल :: खिलाड़ी : ?  
समय आधारित प्रश्न:  
A. खेल  
B. खेल खेल  
C. समूह  
D. प्रतियोगिता  

उत्तर: D. प्रतियोगिता",टीम
"கேள்வி: நீர் : பார்ப்பனை :: உணவு : ?
விடை விருப்பங்கள்:
A. உணவு
B. சமையல்
C. பசியுள்
D. பசிக்கும்

விடை: C. பசியுள்",पानी : प्यास :: भोजन : ?,"प्रश्न: जल : देखने वाला :: भोजन : ?  
विकल्प:  
A. भोजन  
B. बनावट  
C. भूखला  
D. भूख लगी है  

उत्तर: C. भूखला",भूख
"கேள்வி: ஜாவோ : ஆவோ :: உயரமாக : ?
விடை விருப்பங்கள்:
A. மேல்
B. கீழ்
C. குதிப்பு
D. நிலை

விடை: A. மேல்",जाओ : आओ :: ऊँचा : ?,"प्रश्न: जावो : आवो :: उயरमाग : ?  
विकल्प:  
A. ऊपर  
B. नीचे  
C. कूद  
D. स्थिति  

उत्तर: A. ऊपर",नीचा
"கேள்வி: பட்டை : வெள்ளை :: தண்ணீர் : ?  
விருந்துகள்:  
A. பழுத்து  
B. வெள்ளை  
C. பச்சை  
D. தண்ணீர்  

(மொழிபெயர்ப்பு: பட்டை : பச்சை :: தண்ணீர் : ?)",पत्ता : हरा :: दूध : ?,"प्रश्न: पट्टी : हरा :: पानी : ?  
विकल्प:  
A. पक्का  
B. सफेद  
C. हरा  
D. पानी  

(अनुवाद: पट्टी : हरा :: पानी : ?)",सफेद
"கேள்வி: சிவாய : நின்று கொண்டிருக்கை :: தாமரை : ?  
வினாடி:  
A. நிறம்  
B. பென்ட்  
C. பெரிய மின்கம்பி  
D. செல்லுதல்  

விடை: D. செல்லுதல்",लाल : रूकना :: हरा : ?,"प्रश्न: शिवाय : खड़ा रहना :: तामरा : ?  
समय:  
A. रंग  
B. पैंट  
C. बड़ा तार  
D. चलना  

उत्तर: D. चलना",चलना
"கேப்டன் : டீம் :: டைரெக்டர் : ?

வினா: கேப்டன் : டீம் :: டைரெக்டர் : ?

விருப்பங்கள்:
A. கவனிப்பாளர்
B. ஊழியர்
C. நிறுவனம்
D. குழு",कप्तान : टीम :: डायरेक्टर : ?,कप्तान : टीम :: डायरेक्टर : ?,संस्था
"கேள்வி: ரைட் : ரோட் :: ஹர்டிங் : ?

விடை விருப்பங்கள்:
A. ஹர்டெட்  
B. ஹர்டிங்  
C. ஹர்ட்  
D. ஹர்ட்ஸ  

விடை: C. ஹர்ட்",राइट : रोट :: हर्टिंग : ?,"प्रश्न: राइट : रोड :: हार्डिंग : ? 

विकल्प:
A. हार्डेट 
B. हार्डिंग 
C. हार्ड 
D. हार्ड्स 

उत्तर: C. हार्ड",हर्ट
"கேள்வி: செருமன் : குறைந்த செருமன் :: குறைந்த சக்தி : ?  
விருப்பங்கள்:  
A. உழைக்கும்  
B. சாதாரண குணம்  
C. சக்தி  
D. தொழில்மயமாக்கல்  

விடை: A. உழைக்கும்",स्थूल : दुबला :: निष्क्रिय : ?,"प्रश्न: चुப्पी : कम चुप्पी :: कम शक्ति : ?  
विकल्प:  
A. काम करता है  
B. सामान्य गुण  
C. शक्ति  
D. औद्योगीकरण  

उत्तर: A. काम करता है",क्रियाशील
"கேள்வி: பத்திரிகை : செய்தியாளர் :: நாடகம் : ?

விடை விருப்பங்கள்:
A. அறிவாண்மையாளர்  
B. நடிகை  
C. படக்குறிப்பு  
D. இயக்குனர்  

சரியான விடை: C. படக்குறிப்பு",पत्रिका : सम्पादक :: नाटक : ?,"प्रश्न: पत्रिका : समाचार लेखक :: नाटक : ?  
विकल्प:  
A. ज्ञान दाता  
B. अभिनेत्री  
C. फिल्म नोट  
D. निर्माता  

सही उत्तर: C. फिल्म नोट",निर्देशक
"கேள்வி: காற்று : ஆக்சிஜன் :: திரவம் : ?

வினாடி வினாக்கள்:
A. பாய்ச்சல்  
B. வாயு  
C. ஆறு  
D. கடல்  

விடை: B. வாயு",गैस : ऑक्सीजन :: द्रव : ?,"प्रश्न: हवा : ऑक्सीजन :: द्रव : ?  
समय आधारित प्रश्न:  
A. बहाव  
B. गैस  
C. नदी  
D. समुद्र  

उत्तर: B. गैस",जल
"கை : மனிதர் :: கால் : ?  
வினா: கை : மனிதர் :: கால் : ?  
விடை விருப்பங்கள்:  
A. குதிரை  
B. பாம்பு  
C. பூனை  
D. கீற்று  

(இங்கு கை மனிதரின் பகுதியாகும், அதேபோல் கால் என்பது ஒரு விலங்கின் பகுதியாகும். அதனால் கால் கீற்று என்பது சரியான விடை.)",पैर : मनुष्य :: खुर : ?,"हाथ : मनुष्य :: पैर : ?  
प्रश्न: हाथ : मनुष्य :: पैर : ?  
विकल्प:  
A. घोड़ा  
B. मगरमच्छ  
C. बिल्ली  
D. छिद्र  

(यहाँ हाथ मनुष्य का भाग है, इसी तरह पैर एक जानवर का भाग है। इसलिए पैर छिद्र ही सही उत्तर है।)",गाय
"கேள்வி: பானை : பிளேட் :: கிடை : ?  
வினாடி:  
A. கார்  
B. வட்டமாக இருக்கும்  
C. தில்லியான்  
D. வாயு  

விடை: B. வட்டமாக இருக்கும்",पंखा : ब्लेड :: पहिया : ?,"प्रश्न: बरतन : चम्मच :: किनारा : ?  
समय:  
A. गाड़ी  
B. गोल होगा  
C. दिल्ली का आदमी  
D. वायु  

उत्तर: B. गोल होगा",तिल्लियाँ
"கேள்வி: கணிதம் : தர்க்கம் :: அறிவியல் : ?
வினாடி வினாக்கள்:
A. சோதனை
B. சோதனை அறை
C. அறிவியலாளர்
D. உண்மை

விடை: B. சோதனை அறை",गणित : तर्क :: विज्ञान : ?,"प्रश्न: गणित : तर्क :: विज्ञान : ?  
समय आधारित प्रश्न:  
A. प्रयोग  
B. प्रयोगशाला  
C. विज्ञानी  
D. सत्य  

उत्तर: B. प्रयोगशाला",प्रयोग
"கேள்வி: தாலா : சாவியும் :: குற்றமும் : ?  
விருப்பங்கள்:  
A. பரிசோதனை  
B. ரகசியம்  
C. குற்றவாளி  
D. தவறு நிரூபணம்  

விடை: C. குற்றவாளி",ताला : चाबी :: अपराध : ?,"प्रश्न: तालाः कुंजी भी :: अपराध भी : ?  
विकल्प:  
A. परीक्षण  
B. रहस्य  
C. अपराधी  
D. त्रुटि निर्धारण  

उत्तर: C. अपराधी",जाँच
"கேள்வி: சரி : தவறு :: செங்குத்து : ?
வினாடி:  
A. உதார  
B. அடிக்குத்து  
C. வளை  
D. சுதாரணம்  

விடை: C. வளை",सही : गलत :: सीधा : ?,"प्रश्न: सही : गलत :: ऊर्ध्व : ?  
समय:  
A. उदार  
B. अड्डी  
C. वृद्धि  
D. सुधारणा  

उत्तर: C. वृद्धि",वक्र
"கேள்வி: ரேடியோ : கேட்பவர் :: திரைப்படம் : ?
விருப்பங்கள்:
A. பரிசயம்  
B. ஆலோசகர்  
C. நடிகர்  
D. பார்வையாளர்  

விடை: D. பார்வையாளர்",रेडियो : श्रोता :: चलचित्र : ?,"प्रश्न: रेडियो : सुनने वाला :: फिल्म : ?  
विकल्प:  
A. अनुभव  
B. सलाहकार  
C. अभिनेता  
D. दर्शक  

उत्तर: D. दर्शक",दर्शक
"கேள்வி: சாக்கு : கட்டும் :: புலி : ?

வினாடி வினாக்கள்:
A. கீறுதல்  
B. பிடித்தல்  
C. புலி சுடுதல்  
D. சூடு",चाकू : कटना :: बन्दूक : ?,"प्रश्न: सांकेतिक चिह्न : बनाना :: बाघ : ?  
समय आधारित प्रश्न:  
A. टूटना  
B. पकड़ना  
C. बाघ के गोली मारना  
D. गरमी",गोली मारना
